,Post ID,Comments,,
63,CyCN8YSSBIj,Charlie😍❤️‍🔥❤️‍🔥,,
64,CyCN8YSSBIj,Rrrrrrrraquelle ❤️,,
65,CyCN8YSSBIj,I ironically love sitting/laying on the floor,,
66,CyCN8YSSBIj,JULIE AND THE PHANTOMS SEASON 2,,
67,CyCN8YSSBIj,COMMUNITY??,,
68,CyCN8YSSBIj,My Baby Blue... Breaking Bad,,
69,CyCN8YSSBIj,#socspinoff #shadowandboneseason3 #shadowandbone,,
70,CyCN8YSSBIj,,,
71,CyCN8YSSBIj,Fix your app,,
72,CyCN8YSSBIj,Me when I get home from school,,
73,CyCN8YSSBIj,Ziocan,,
74,CyCN8YSSBIj,Robin ❤️,,
75,CyCN8YSSBIj,Me trying too build up the energy to take a shower in the morning,,
76,CyCN8YSSBIj,,,
77,CyCN8YSSBIj,Well everyone wants a pay increase so now the customers need to pay for it. 👏👏,,
78,CyCN8YSSBIj,you had to opportunity to add Joyce Byers but didn’t 😕,,
79,CyCN8YSSBIj,wheres frank Gallagher,,
80,CyCN8YSSBIj,K,,
81,CyCN8YSSBIj,👎,,
82,CyCN8YSSBIj,YO SOY CHARLIE,,
83,CyCN8YSSBIj,I HATE YOU,,
84,CyCN8YSSBIj,,,
85,CyCN8YSSBIj,#fucknetflix,,
86,CyCN8YSSBIj,Literally the two household thing doesn’t make any sense. Divorced kids and kids in college have to pay stupid prices because you can’t figure it out?? So dumb,,
87,CyCN8YSSBIj,You all suck for enacting the restriction on password sharing. I’ve shared my Netflix with my parents for years and did that to help them out. Y’all are hot trash. So glad we canceled our plan. 🖕🏻,,
88,CyCN8YSSBIj,🪶,,
89,CyCN8YSSBIj,"@netflix It's time to give Julie and the phantoms another chance, PLEASE",,
90,CyCN8YSSBIj,@netflix BRING JULIE AND THE PHANTOMS BACK,,
91,CyCN8YSSBIj,@netflix WE WANT JULIE AND THE PHANTOMS BACK,,
92,CyCN8YSSBIj,@oscarr.davis netflix understands me,,
93,CyCN8YSSBIj,"@netflix I miss Julie and the Phantoms, we want them back",,
94,CyCN8YSSBIj,@jasngty_0109,,
95,CyCN8YSSBIj,@juliekairo34 c'est toi,,
96,CyCN8YSSBIj,@krmoore1,,
97,CyCN8YSSBIj,@netflix RENEW @julieandthephantoms,,
98,CyCN8YSSBIj,Eu,,
99,CyCN8YSSBIj,⚪🤍,,
100,CyBotnouUZp,The fact that Heather won't be there is INSANE how dare they,,
101,CyBotnouUZp,omg where is heather,,
102,CyBotnouUZp,Hopefully they will sell at least one damn house instead of having drama 24/7.,,
103,CyBotnouUZp,"Glad Heather isn’t there. Last season made me realize she’s a little phony. Every other word out of her mouth was “I’m not trying to stir the pot”, yet that’s exactly what she was doing.",,
104,CyBotnouUZp,They literally all hate each other.,,
105,CyBotnouUZp,MY MOTHERS AND BALD KINGS ARE BACK,,
106,CyBotnouUZp,Lol they still gonna be talking about Christine watch 😂 they’re obsessed with my girl.,,
107,CyBotnouUZp,"😮😮😮😮 so soon 
Can’t wait 
Omg omg omg omg ❤️🔥🔥 
  The last season was dry, I hope things get more interesting this season",,
108,CyBotnouUZp,We want to see heather,,
109,CyBotnouUZp,do y’all think azanta will sell a house this time,,
110,CyBotnouUZp,Aka the Chrishelle show,,
111,CyBotnouUZp,,,
112,CyBotnouUZp,I need more Davina!! stop editing her out!,,
113,CyBotnouUZp,"We are tired of your silence, when are you going to announce that Percy Hynes White is out of Wednesday's cast?",,
114,CyBotnouUZp,I hope they actually show them working and not fighting. I refuse to believe this is how grown women conduct themselves.,,
115,CyBotnouUZp,Yessss i can’t wait. I hope the camera quality isn’t so orange this season,,
116,CyBotnouUZp,Wow this photo is incredible 🤯,,
117,CyBotnouUZp,"we want Percy out of the Wednesday cast, I think we've waited long enough for an update",,
118,CyBotnouUZp,"i appreciate us tv shows and i would love if they did like brazil. that at which week day, they reliase a new 50 minutes episode for people to watch, from monday to saturday, which means, there are 313 episodes of each novela for people to watch. so, would be nice to have that many episodes to watch of the tv show we like, thanks for reading",,
119,CyBotnouUZp,#cancelpercy,,
120,CyBotnouUZp,#cancelpercy,,
121,CyBotnouUZp,#cancelpercy,,
